"","PROBEID","SYMBOL"
"254","HTA2-neg-47419882_st",NA
"255","HTA2-neg-47419884_st",NA
"256","HTA2-neg-47419889_st",NA
"257","HTA2-neg-47419894_st",NA
"258","HTA2-neg-47419896_st",NA
"259","HTA2-neg-47419898_st",NA
"260","HTA2-neg-47419903_st",NA
"261","HTA2-neg-47419910_st",NA
"262","HTA2-neg-47419912_st",NA
"263","HTA2-neg-47419916_st",NA
"264","HTA2-neg-47419968_st",NA
"265","HTA2-neg-47419974_st",NA
"266","HTA2-neg-47419976_st",NA
"267","HTA2-neg-47419991_st",NA
"268","HTA2-neg-47420010_st",NA
"269","HTA2-neg-47420032_st",NA
"270","HTA2-neg-47420068_st",NA
"271","HTA2-neg-47420075_st",NA
"272","HTA2-neg-47420081_st",NA
"273","HTA2-neg-47420087_st",NA
"274","HTA2-neg-47420088_st",NA
"275","HTA2-neg-47420091_st",NA
"276","HTA2-neg-47420110_st",NA
"277","HTA2-neg-47420152_st",NA
"278","HTA2-neg-47420169_st",NA
"279","HTA2-neg-47420177_st",NA
"280","HTA2-neg-47420194_st",NA
"281","HTA2-neg-47420204_st",NA
"282","HTA2-neg-47420234_st",NA
"283","HTA2-neg-47420247_st",NA
"284","HTA2-neg-47420326_st",NA
"285","HTA2-neg-47420332_st",NA
"286","HTA2-neg-47420333_st",NA
"287","HTA2-neg-47420345_st",NA
"288","HTA2-neg-47420354_st",NA
"289","HTA2-neg-47420356_st",NA
"290","HTA2-neg-47420383_st",NA
"291","HTA2-neg-47420405_st",NA
"292","HTA2-neg-47420411_st",NA
"293","HTA2-neg-47420423_st",NA
"294","HTA2-neg-47420444_st",NA
"295","HTA2-neg-47420476_st",NA
"296","HTA2-neg-47420491_st",NA
"297","HTA2-neg-47420510_st",NA
"298","HTA2-neg-47420512_st",NA
"299","HTA2-neg-47420513_st",NA
"300","HTA2-neg-47420517_st",NA
"301","HTA2-neg-47420518_st",NA
"302","HTA2-neg-47420520_st",NA
"303","HTA2-neg-47420524_st",NA
"304","HTA2-neg-47420549_st",NA
"305","HTA2-neg-47420558_st",NA
"306","HTA2-neg-47420561_st",NA
"307","HTA2-neg-47420566_st",NA
"308","HTA2-neg-47420572_st",NA
"309","HTA2-neg-47420575_st",NA
"310","HTA2-neg-47420580_st",NA
"311","HTA2-neg-47420605_st",NA
"312","HTA2-neg-47420607_st",NA
"313","HTA2-neg-47420609_st",NA
"314","HTA2-neg-47420614_st",NA
"315","HTA2-neg-47420617_st",NA
"316","HTA2-neg-47420624_st",NA
"317","HTA2-neg-47420625_st",NA
"318","HTA2-neg-47420626_st",NA
"319","HTA2-neg-47420632_st",NA
"320","HTA2-neg-47420633_st",NA
"321","HTA2-neg-47420639_st",NA
"322","HTA2-neg-47420640_st",NA
"323","HTA2-neg-47420645_st",NA
"324","HTA2-neg-47420653_st",NA
"325","HTA2-neg-47420654_st",NA
"326","HTA2-neg-47420655_st",NA
"327","HTA2-neg-47420658_st",NA
"328","HTA2-neg-47420659_st",NA
"329","HTA2-neg-47420661_st",NA
"330","HTA2-neg-47420662_st",NA
"331","HTA2-neg-47420665_st",NA
