SYMBOL,EH031TC,EH072TC,EH113TC,EH041TT,EH082TT,EH123TT,EH011SC,EH052SC,EH093SC,EH021ST,EH062ST,EH103ST
MIR4501,1.81354224614283,1.79075601386887,1.73569016812348,1.38970030815738,1.37456389446683,1.53689877377313,1.57256102892838,1.43086455543123,2.08263721218191,1.29231054260652,1.31167681608902,1.31506652995459
MIR4502,6.57773264861621,6.62108196646735,5.97844754120394,6.44026235410452,5.90098723945854,5.89133012544229,6.23016487605987,6.45380470041171,6.27985329012685,6.33753501438338,6.13476712412404,6.11919345600426
MIR4504,2.21842897007963,2.66516997191316,2.45177745595656,2.65300161248224,2.91382649433583,2.47238595517019,3.72248778669701,3.75810980700179,3.00786538981469,2.46120769254604,2.82300051660728,2.74322348024872
MIR4505,4.90873555655791,5.5151348413725,4.86396764207036,4.98993527206543,4.88994463424108,5.18410391752402,4.87166847510321,4.18378919792622,4.96842930001202,4.35118535710189,3.82233560958171,4.89154042592421
MIR4506,4.70681312252607,4.67538103048761,4.27561074554101,4.69751949500609,4.35795583827282,4.41471126077632,4.22074530663033,4.7042263124012,4.50345970399202,4.45080754231121,4.08630309306695,4.85300789214463
MIR4513,4.81734778689925,5.38080615901438,5.55232613803737,5.2468850686085,5.0461736041542,4.90679197251271,5.24799667714439,4.6694891609759,4.53556170807134,4.87022298322788,4.63759251678145,5.2069834732914
MIR4516,8.51884185565657,9.24343523471132,9.00419307848119,8.9331881802055,8.51765593742143,8.67157869550277,8.39270667399471,8.10278998127428,8.73595741051968,7.93799693344327,7.9408729872934,8.74782989383313
MIR452,8.78261389006413,7.44353495636453,7.44870155266661,8.74824084479437,8.6249447799947,8.33485643805004,7.91647571143458,8.04768878517672,8.19290716398766,8.23683101527188,8.33338284779807,7.55492780792704
MIR4520-1,2.67912970251417,2.80599648469021,3.19805804041617,3.35400565976277,3.0933266828098,3.34403308395179,2.68591285917678,2.72491506291083,2.85298014480279,3.20746052465685,3.16935274389843,3.19325304863125
MIR4521,6.06552683654409,5.84737645830987,7.12525929820063,8.98328048314668,9.38510629620825,9.12550045556778,6.97328330995129,6.60116383140659,6.53013376859363,9.8451133983662,9.13442285287313,8.87164888789865
MIR4522,7.26029166837137,7.39816373741503,7.12054651362358,7.05137131518014,6.98889176714171,6.98567466599772,7.1108200748538,6.66934730777113,7.0859355289369,6.40389690260539,6.43936846210685,7.03895519922726
MIR4524A,1.87251711937387,2.84856794771086,1.99110120395197,2.59072621721679,2.39682517642731,1.90717938268538,2.18574126040967,1.85214534649007,2.46213029840539,3.04152990181289,1.95566014149103,1.91818228047902
